Tanaman,Khasiat,Clean_Text
Jahe,mengatasi masuk angin mual batuk menghangatkan tubuh,mengatasi masuk angin mual batuk menghangatkan tubuh
Kunyit,antiinflamasi maag nyeri sendi antioksidan,antiinflamasi maag nyeri sendi antioksidan
Temulawak,menjaga kesehatan hati meningkatkan nafsu makan,menjaga kesehatan hati meningkatkan nafsu makan
Daun Sirih,antiseptik sariawan bau mulut luka,antiseptik sariawan bau mulut luka
Sambiloto,menurunkan gula darah meningkatkan daya tahan tubuh,menurunkan gula darah meningkatkan daya tahan tubuh
Lidah Buaya,luka bakar kesehatan kulit rambut,luka bakar kesehatan kulit rambut
Kencur,batuk masuk angin pegal linu,batuk masuk angin pegal linu
Pegagan,meningkatkan daya ingat penyembuhan luka,meningkatkan daya penyembuhan luka
Meniran,meningkatkan sistem imun infeksi virus,meningkatkan sistem imun infeksi virus
Daun Jambu,diare sakit perut,diare sakit perut
